epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17377.7,2.10918,2.72755,2.35566,0.38346,0.39622,0.35716,0.16857,2.06161,2.54476,2.22556,0.000900844,0.000900844,0.000900844
43,17832.5,2.12736,2.78548,2.37003,0.57415,0.33443,0.3892,0.1854,2.06926,2.52226,2.2148,0.000896127,0.000896127,0.000896127
44,18228.5,2.08524,2.76222,2.33276,0.41942,0.38933,0.36222,0.17672,2.02345,2.43571,2.20043,0.000891313,0.000891313,0.000891313
45,18472.2,2.06941,2.66408,2.33848,0.51737,0.38706,0.41912,0.20372,2.00658,2.36579,2.19239,0.000886404,0.000886404,0.000886404
46,18688.7,2.08836,2.6972,2.352,0.50573,0.39083,0.39367,0.19039,2.00173,2.46528,2.18565,0.000881401,0.000881401,0.000881401
47,18912.3,2.0643,2.6585,2.30919,0.51841,0.39993,0.418,0.20019,2.03187,2.41594,2.21458,0.000876305,0.000876305,0.000876305
48,19127.3,2.06104,2.63458,2.32632,0.38288,0.42553,0.35462,0.16118,2.03521,2.36444,2.21715,0.000871117,0.000871117,0.000871117
49,19282.2,2.05062,2.57692,2.31521,0.47301,0.41917,0.3972,0.1772,2.03923,2.31943,2.21351,0.000865839,0.000865839,0.000865839
50,19423.7,2.06095,2.62113,2.31876,0.41868,0.40719,0.38576,0.18403,2.05424,2.39618,2.2315,0.000860473,0.000860473,0.000860473
51,19578.8,2.07298,2.6505,2.32983,0.5784,0.41396,0.43111,0.21148,1.9609,2.35576,2.1787,0.000855018,0.000855018,0.000855018
52,19746.5,2.06313,2.66606,2.31438,0.41274,0.43169,0.35419,0.16326,1.98824,2.3629,2.17506,0.000849477,0.000849477,0.000849477
53,19897.5,2.04333,2.60723,2.2978,0.4757,0.44171,0.40426,0.19843,2.0246,2.31109,2.19715,0.000843851,0.000843851,0.000843851
54,20096.2,2.04054,2.55112,2.32234,0.51426,0.4424,0.45944,0.22187,1.99652,2.18107,2.17514,0.000838141,0.000838141,0.000838141
55,20267.2,2.03707,2.57159,2.31434,0.42456,0.44642,0.3523,0.16739,1.95929,2.30927,2.1548,0.000832349,0.000832349,0.000832349
56,20413.9,2.01836,2.50477,2.26709,0.42473,0.46133,0.34393,0.1656,1.95474,2.3254,2.15487,0.000826477,0.000826477,0.000826477
57,20695,2.02936,2.5306,2.30752,0.50191,0.43359,0.44848,0.22893,1.97444,2.18925,2.16286,0.000820525,0.000820525,0.000820525
58,20883.3,2.02912,2.46338,2.25962,0.60154,0.4401,0.48003,0.23391,1.92428,2.13718,2.10287,0.000814495,0.000814495,0.000814495
59,21019,1.99228,2.50166,2.28454,0.49188,0.44339,0.45205,0.22001,1.97226,2.16688,2.16246,0.000808389,0.000808389,0.000808389
60,21214.1,1.99468,2.47531,2.24684,0.52092,0.45308,0.43716,0.21811,1.95925,2.21827,2.15939,0.000802208,0.000802208,0.000802208
61,21526.1,1.98734,2.42085,2.25633,0.51117,0.47272,0.43481,0.21319,1.9571,2.1639,2.15017,0.000795954,0.000795954,0.000795954
62,21695.3,2.00265,2.43854,2.27527,0.54208,0.47674,0.46899,0.23062,1.91566,2.10038,2.11075,0.000789628,0.000789628,0.000789628
63,21856.2,1.98553,2.40573,2.24731,0.50087,0.4713,0.46417,0.23001,1.94999,2.10685,2.13651,0.000783231,0.000783231,0.000783231
64,22082.1,1.94541,2.36058,2.23398,0.57648,0.46704,0.49786,0.24039,1.91757,2.22142,2.10034,0.000776766,0.000776766,0.000776766
65,22233.8,1.97163,2.39941,2.23369,0.62569,0.44196,0.5082,0.24939,1.86797,2.04181,2.06683,0.000770234,0.000770234,0.000770234
66,22411.1,1.95323,2.34306,2.22609,0.53669,0.45239,0.47159,0.23912,1.91602,2.11406,2.10979,0.000763637,0.000763637,0.000763637
67,22556.6,1.93206,2.31936,2.20305,0.6045,0.4722,0.51051,0.25445,1.88443,2.01935,2.08252,0.000756976,0.000756976,0.000756976
68,22768.7,1.97761,2.32521,2.25442,0.53686,0.50707,0.48922,0.2563,1.87074,2.00696,2.0783,0.000750252,0.000750252,0.000750252
69,22971.5,1.97084,2.34125,2.2364,0.54069,0.50694,0.47135,0.23419,1.88882,2.08408,2.07907,0.000743468,0.000743468,0.000743468
70,23145.6,1.96801,2.28028,2.23201,0.52336,0.49626,0.5028,0.24241,1.92449,2.05508,2.11474,0.000736625,0.000736625,0.000736625
71,23315.7,1.9566,2.32667,2.21498,0.58974,0.50992,0.53355,0.2734,1.87095,1.96605,2.06208,0.000729725,0.000729725,0.000729725
72,23556,1.90445,2.26134,2.20676,0.64858,0.50192,0.53514,0.27255,1.84541,1.9731,2.06395,0.00072277,0.00072277,0.00072277
73,23780.1,1.91127,2.21267,2.18866,0.57323,0.52676,0.54992,0.29021,1.86043,1.90086,2.06855,0.000715761,0.000715761,0.000715761
74,23966.3,1.93155,2.24801,2.22374,0.59926,0.5579,0.5524,0.28792,1.85677,1.90714,2.04913,0.0007087,0.0007087,0.0007087
75,24118.8,1.89726,2.1851,2.18044,0.57122,0.53602,0.50366,0.25358,1.84497,1.91269,2.04718,0.000701588,0.000701588,0.000701588
76,24313.8,1.90005,2.21875,2.17224,0.58126,0.56324,0.56084,0.2821,1.86761,1.94295,2.06078,0.000694428,0.000694428,0.000694428
