epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,28873.2,1.22769,1.48453,1.19339,1.81204,0.84804,0.88,0.92774,0.55905,0.83519,0.86667,0.92313,0.56803,1.28086,0.89615,1.05677,1.73794,0.00086406,0.00086406,0.00086406
31,29828.5,1.20802,1.36893,1.17504,1.74142,0.76476,0.86694,0.89316,0.52115,0.79918,0.92,0.90341,0.59415,1.3179,0.78426,1.09536,1.79987,0.000855018,0.000855018,0.000855018
32,30783,1.13931,1.45799,1.10229,1.75744,0.78662,0.93392,0.91905,0.537,0.80326,0.96,0.91058,0.5571,1.29536,1.05453,0.96493,1.83105,0.000845736,0.000845736,0.000845736
33,31735.1,1.19047,1.35258,1.11342,1.77085,0.75737,0.88,0.86335,0.51682,0.68609,0.8,0.74378,0.39649,1.35341,1.73434,1.1333,1.8877,0.00083622,0.00083622,0.00083622
34,32690.3,1.18731,1.46325,1.1559,1.74626,0.79724,0.8388,0.85986,0.51586,0.79724,0.8388,0.87519,0.49121,1.30049,1.23224,1.12328,1.86072,0.000826477,0.000826477,0.000826477
35,33649.1,1.12804,1.43547,1.11665,1.73317,0.78361,0.88,0.89933,0.57417,0.78464,0.9716,0.92569,0.57838,1.15695,0.88424,1.46351,1.67153,0.000816514,0.000816514,0.000816514
36,34603.2,1.18785,1.38873,1.15586,1.81144,0.79202,0.86323,0.91168,0.58198,0.80403,0.87532,0.92376,0.57451,1.21904,1.00768,1.17408,1.68233,0.000806337,0.000806337,0.000806337
37,35553,1.07993,1.33141,1.11935,1.67036,0.8573,0.80106,0.87692,0.5166,0.92891,0.87115,0.93501,0.54384,1.30319,1.04567,1.21816,1.89235,0.000795954,0.000795954,0.000795954
38,36512.3,1.11732,1.23255,1.07615,1.67237,0.79034,0.90475,0.8875,0.52646,0.85164,0.96,0.9446,0.53967,1.27734,0.93436,1.2978,1.8285,0.000785371,0.000785371,0.000785371
39,37466.4,1.06601,1.28315,1.0681,1.6642,0.83053,0.84947,0.88793,0.56061,0.8559,0.87117,0.91543,0.62258,1.1263,0.7883,0.94949,1.68993,0.000774596,0.000774596,0.000774596
40,38427.2,1.11553,1.30758,1.06909,1.70884,0.74041,0.92,0.91359,0.5955,0.74041,0.92,0.91038,0.63224,1.1036,0.80735,0.92079,1.59424,0.000763637,0.000763637,0.000763637
41,39379.1,1.04346,1.29202,1.0429,1.64477,0.82594,0.92,0.93012,0.59975,0.81212,0.86453,0.89272,0.52082,1.19974,1.37305,0.84977,1.68263,0.0007525,0.0007525,0.0007525
42,40337.3,1.06069,1.17749,1.02738,1.66062,0.87188,0.90734,0.95979,0.63642,0.83738,0.92,0.95743,0.65725,1.1513,0.74673,0.9554,1.62359,0.000741194,0.000741194,0.000741194
43,41298.9,1.0411,1.19003,0.97347,1.63901,0.81322,0.86667,0.92504,0.59322,0.86005,0.84,0.91283,0.58831,1.21419,0.9769,0.89968,1.72546,0.000729725,0.000729725,0.000729725
44,42258.2,1.00163,1.15678,1.03734,1.6126,0.92006,0.92075,0.96257,0.61464,0.90688,0.90894,0.93828,0.65345,1.16996,0.70598,0.89361,1.71927,0.000718103,0.000718103,0.000718103
45,43217.9,1.05806,1.13485,1.04785,1.58846,0.8606,0.92,0.95064,0.64504,0.84868,0.92,0.95329,0.64097,1.14557,0.84689,0.88948,1.6448,0.000706335,0.000706335,0.000706335
46,44174.4,1.00453,1.1347,1.02094,1.61835,0.80841,0.84392,0.90439,0.5836,0.84812,0.89348,0.91236,0.61355,1.16344,0.95144,0.98799,1.68505,0.000694428,0.000694428,0.000694428
47,45124.9,0.9712,1.22283,0.97158,1.60899,0.78826,0.85333,0.89596,0.56269,0.83365,0.94667,0.95379,0.63588,1.14825,0.67452,1.01088,1.58995,0.000682392,0.000682392,0.000682392
48,46078.5,0.99442,1.29413,0.9409,1.61276,0.83233,0.86049,0.88919,0.57438,0.80354,0.89333,0.92024,0.62919,1.08889,0.7217,0.95454,1.57827,0.000670234,0.000670234,0.000670234
49,47033.5,0.93085,1.03641,0.92059,1.53201,0.90104,0.84986,0.93004,0.62076,0.86202,0.90667,0.9586,0.69493,1.1215,0.59226,0.91615,1.57875,0.000657963,0.000657963,0.000657963
50,47989.7,0.93983,1.13729,0.9072,1.55179,0.93272,0.92429,0.96551,0.64583,0.94864,0.93333,0.97879,0.72496,1.16243,0.61642,0.80646,1.63074,0.000645588,0.000645588,0.000645588
51,48945,0.97708,1.07771,0.96722,1.59585,0.79772,0.88,0.90797,0.6109,0.86443,0.92,0.95741,0.68379,1.06597,0.64784,0.93932,1.58002,0.000633115,0.000633115,0.000633115
52,49898.3,1.01038,1.12855,0.95469,1.60326,0.77945,0.84824,0.89389,0.61135,0.82982,0.91027,0.9193,0.6568,1.11898,0.62023,0.86137,1.63734,0.000620555,0.000620555,0.000620555
53,50854.8,0.94929,1.08088,0.91207,1.56203,0.83159,0.85592,0.91312,0.61647,0.84444,0.86853,0.92397,0.622,1.12529,0.84284,0.98106,1.60652,0.000607916,0.000607916,0.000607916
54,51808,0.95259,1.07391,0.86759,1.55144,0.83943,0.84,0.89697,0.5849,0.83817,0.84,0.91438,0.62123,1.05719,0.84515,0.94386,1.5098,0.000595207,0.000595207,0.000595207
55,52766.6,0.9262,1.03942,0.94812,1.52133,0.79219,0.86412,0.89066,0.63226,0.83015,0.93333,0.91578,0.60014,0.9178,0.9522,0.91704,1.39502,0.000582435,0.000582435,0.000582435
56,53735.6,0.90383,1.08761,0.89201,1.52093,0.90779,0.91884,0.95602,0.67536,0.90779,0.91884,0.95706,0.71362,0.95718,0.53162,0.8052,1.39595,0.00056961,0.00056961,0.00056961
57,54696.8,0.90653,1.05577,0.8717,1.5613,0.7885,0.92,0.90194,0.64304,0.80163,0.93333,0.89464,0.60757,0.97155,0.96677,0.828,1.43241,0.000556742,0.000556742,0.000556742
58,55658,1.01602,0.98596,0.898,1.60132,0.85176,0.91934,0.93391,0.68545,0.86411,0.93267,0.93775,0.6671,0.96437,0.75915,0.76349,1.44665,0.000543837,0.000543837,0.000543837
59,56617.2,0.87568,1.01696,0.83982,1.48413,0.86195,0.91582,0.91935,0.63226,0.8745,0.92916,0.93163,0.62821,1.05999,0.84242,0.7903,1.61398,0.000530906,0.000530906,0.000530906
60,57575.1,0.89454,1.0393,0.89558,1.48061,0.94892,0.92,0.97696,0.73325,0.96706,0.93333,0.98212,0.7573,0.91537,0.57508,0.81381,1.40909,0.000517958,0.000517958,0.000517958
61,58531.6,0.82894,1.01627,0.85137,1.4711,0.87763,0.95628,0.96315,0.73868,0.8768,0.94895,0.95029,0.69195,0.86731,0.66961,0.7498,1.37398,0.000505,0.000505,0.000505
62,59485.9,0.85074,1.04673,0.79959,1.46802,0.87512,0.93441,0.95918,0.7106,0.87237,0.98667,0.96888,0.72087,0.85484,0.60402,0.64294,1.38737,0.000492042,0.000492042,0.000492042
63,60437.5,0.87271,0.99126,0.83814,1.46728,0.8722,0.90996,0.93891,0.71727,0.8722,0.90996,0.94043,0.72781,0.79087,0.59627,0.76161,1.3262,0.000479094,0.000479094,0.000479094
64,61399.3,0.74656,0.8621,0.7637,1.3803,0.87889,0.92,0.95563,0.73972,0.90389,0.96,0.96493,0.74752,0.81905,0.51277,0.64843,1.36446,0.000466163,0.000466163,0.000466163
65,62356.3,0.84041,0.86316,0.77217,1.43423,0.91765,0.96,0.97605,0.74467,0.93919,0.96,0.97904,0.77667,0.80801,0.50733,0.58938,1.31538,0.000453258,0.000453258,0.000453258
66,63309.6,0.83063,0.93376,0.79864,1.45115,0.88598,0.96,0.95804,0.71631,0.89879,0.97333,0.97377,0.74557,0.80218,0.53858,0.64535,1.288,0.00044039,0.00044039,0.00044039
67,64262.7,0.79236,0.85871,0.7946,1.41741,0.90713,0.93333,0.95907,0.73647,0.92095,0.94667,0.97648,0.73262,0.80402,0.5427,0.68754,1.29877,0.000427565,0.000427565,0.000427565
68,65216,0.79658,0.9571,0.75418,1.41577,0.9451,0.91821,0.974,0.75681,0.94551,0.96,0.99211,0.79642,0.75651,0.4301,0.59554,1.24932,0.000414793,0.000414793,0.000414793
69,66175.7,0.7698,0.90959,0.72775,1.36978,0.94735,0.95956,0.98995,0.77194,0.94735,0.95956,0.98995,0.8046,0.79952,0.4534,0.57523,1.26038,0.000402084,0.000402084,0.000402084
70,67130.7,0.81848,0.89735,0.76762,1.40349,0.91119,0.95762,0.97767,0.76913,0.93902,0.96,0.98653,0.77706,0.78361,0.45279,0.62942,1.26521,0.000389445,0.000389445,0.000389445
71,68088.5,0.76286,0.92806,0.75598,1.39456,0.88949,0.97333,0.96516,0.75835,0.90189,0.98667,0.98205,0.74363,0.76916,0.5359,0.62616,1.30388,0.000376885,0.000376885,0.000376885
72,69077.6,0.73667,0.98375,0.76387,1.36657,0.91204,0.94667,0.97116,0.74979,0.91998,0.97333,0.98241,0.76436,0.74564,0.54625,0.7126,1.26833,0.000364412,0.000364412,0.000364412
73,70033.8,0.74747,0.85404,0.73556,1.34773,0.93387,0.94667,0.97261,0.74485,0.95783,0.97333,0.98456,0.77577,0.78397,0.51283,0.71436,1.29605,0.000352037,0.000352037,0.000352037
74,70993.6,0.74841,0.8785,0.76655,1.33386,0.92452,0.97993,0.98767,0.75923,0.92452,0.97993,0.98872,0.79335,0.82725,0.48768,0.66718,1.32369,0.000339766,0.000339766,0.000339766
